DATETIME,Body of Water Name,DataContact,LAT,LONG,Secchi Depth (m),Total Nitrogen (ug/L),Total Phosphorus (ug/L),Total Chlorophyll a (ug/L),Microcystin (ug/L),Maximum Depth (m),Mean Depth (m),Surface Temperature (degrees celsius),NO3 NO2 (mg/L),Lat ,Altitude (m),Sampling Depth (m),Thermocline Depth (m),Epilimnetic Temperature (degrees celsius),NH4 (mg/L),PO4 (ug/L),Total Chlorophyll b (ug/L),Zeaxanthin (ug/L),Diadinoxanthin (ug/L),Fucoxanthin (ug/L),Diatoxanthin (ug/L),Alloxanthin (ug/L),Peridinin (ug/L),Total Chlorophyll c2 (ug/L),Echinenone (ug/L),Lutein (ug/L),Violaxanthin (ug/L),Microcystin YR (ug/L),Microcystin dmRR (ug/L),Microcystin RR (ug/L),Microcystin dmLR (ug/L),Microcystin LR (ug/L),Microcystin LY (ug/L),Microcystin LW (ug/L),Microcystin LF (ug/L),Nodularin (ug/L),Cytotoxin Cylindrospermopsin (ug/L),Neurotoxin Anatoxin-a (ug/L),TN:TP,Microcystin:Chlorophyll a,MC Percent Change
1/4/06 0:00,Alto,Dana Stephens,29.7787,-82.143467,1.1176,773.333333,11,7.66666667,0.0772239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.30303027,0.010072683,0
3/6/06 0:00,Alto,Dana Stephens,29.7787,-82.143467,1.016,653.333333,19,8.66666667,0.05965698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.38596489,0.006883498,-0.227480353
5/4/06 0:00,Alto,Dana Stephens,29.7787,-82.143467,0.8128,806.666667,18,8,0.00373996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.81481483,0.000467495,-0.937308928
7/5/06 0:00,Alto,Dana Stephens,29.7787,-82.143467,1.1684,820,22.3333333,19.6666667,0.04154836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.71641797,0.002112628,10.10930598
9/6/06 0:00,Alto,Dana Stephens,29.7787,-82.143467,1.17856,873.333333,24,28,0.0374404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.38888888,0.001337157,-0.098871773
11/8/06 0:00,Alto,Dana Stephens,29.7787,-82.143467,1.524,666.666667,15,6,0.02789103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.44444447,0.004648505,-0.255055234
1/17/06 0:00,Bivans Arm,Dana Stephens,29.6241167,-82.343867,0.21336,3390,194.666667,197.666667,0.05890192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.41438353,0.000297986,0
3/19/06 0:00,Bivans Arm,Dana Stephens,29.6241167,-82.343867,0.3048,2446.66667,253,116,0.09454987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.670619249,0.000815085,0.605208625
5/18/06 0:00,Bivans Arm,Dana Stephens,29.6241167,-82.343867,0.24384,4313.33333,342.333333,280,0.1148911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.59980526,0.000410325,0.215137578
8/21/06 0:00,Bivans Arm,Dana Stephens,29.6241167,-82.343867,0.3048,2600,179.666667,98.6666667,0.1006728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.47124302,0.001020332,-0.123754582
