,0
ADAMSON LAKE,1
AMISK LAKE,2
ARM LAKE,3
ASTOTIN LAKE,4
Abant,5
Abegondo-Cecebre,6
Acarlar,7
Ak lake,8
Akaki_Malounda,9
Akersvannet,10
Akgol,11
Akyatan,12
Aladag,13
Albufera de Valencia,14
Alcantara,15
Alligator,16
Alto,17
Amstelveense,18
Annie,19
Arungen,20
As Conchas,21
As Forcadas Reservoir,22
Ashby,23
Ashley,24
Asprokremmos Reservoir,25
Aydat,26
Azibo,27
Azul,28
Azutan,29
BAPTISTE LAKE - NORTH BASIN,30
BAPTISTE LAKE - SOUTH BASIN,31
BEARTRAP LAKE,32
BEAUVAIS LAKE,33
BEAVER LAKE,34
BELLEVUE LAKE,35
BIG LAKE EAST/WEST BASIN COMP (AB05EA1550),36
BITTERN LAKE,37
BLACKFALDS LAKE,38
BUCK LAKE,39
Bagsvaerd,40
Bajer,41
Balik,42
Balsys,43
Barco,44
Bartezek,45
Bassenthwaite,46
Bastrup,47
Basturs,48
Basturs petit,49
Baxe reservoir,50
Bear,51
Beauclaire,52
Belle East,53
Belle West,54
Berdan,55
Beresford,56
Bethel,57
Beysehir_1,58
Beysehir_2,59
Biale Sosnowickie,60
Bikowsee,61
Bird,62
Bivans Arm,63
Bled,64
Blelham,65
Blue Cypress,66
Bninskie,67
Boadella,68
Body of Water Name,69
Borabay,70
Boskovice,71
Branas,72
Brant,73
Brenet,74
Bret,75
Brick,76
Brnenska prehrada,77
Brooklyn,78
Broward,79
Bugg Springs,80
Bukowieckie Dute,81
Bukowieckie Mate,82
Buszewskie,83
Butoniga,84
Buyuk Akgol,85
Byrd,86
CLAIRMONT LAKE,87
CLEAR LAKE,88
CLEAR LAKE (BARNS LAKE),89
COOKING LAKE,90
COW LAKE,91
CRIMSON LAKE,92
Caldonazzo,93
Campbell,94
Campo,95
Carlton,96
Carwitzersee,97
Catalan,98
Caygoren,99
Cedillo,100
Cernek,101
Charles,102
Charleston West,103
Clear,104
Cliff,105
Colgagh Lough,106
Colonial,107
Concord,108
Constance,109
Corduff,110
Crews,111
Cubuk,112
Cypress,113
Czarne,114
Czerniakowskie,115
DILLBERRY LAKE,116
DRIEDMEAT LAKE,117
Dagowsee,118
De Witt,119
DeLancy,120
Dead Lady,121
Debno,122
Deer,123
Delevoe,124
Derwent,125
Dexter,126
Diane,127
Didziulis,128
Disston,129
Divonne,130
Dlugie,131
Dojran,132
Dollgenesee,133
Domjuchsee,134
Doninos,135
Dora East,136
Dora West,137
Dorr,138
Dziekanowskie,139
EAGLE LAKE,140
ELKWATER LAKE,141
ETHEL LAKE (NEAR COLD LAKE),142
East Crooked,143
Eastern,144
Eastern Ringsjon,145
Eaton,146
Eber,147
Egirdir_1,148
Egirdir_2,149
El Foix,150
Elistvere,151
Ellengowsee,152
Embalse de Arcos de la Frontera,153
Embalse de Escalona,154
Embalse de Tous,155
Embalse del Cubillas,156
Emeralda,157
Emma,158
Empelse put,159
Erie,160
Erken,161
Erne,162
Ertveldplas,163
Eustis,164
Eymir,165
FISHING LAKE,166
FLYINGSHOT LAKE,167
FORK LAKE,168
FROG LAKE,169
Farm 13,170
Farum,171
Floral City,172
Florence,173
Flynn,174
Fort Cooper,175
Fuirstensersee,176
Fukuschkule,177
Fure,178
Furnas,179
GARNIER LAKE (BLUET) - SOUTH BASIN,180
GARNIER LAKE - NORTH BASIN,181
GEORGE LAKE,182
GLENIFFER LAKE (DICKSON RESERVOIR) WHOLE LAKE COMP,183
GOOSE LAKE,184
GREGG LAKE,185
GREGOIRE LAKE,186
GULL LAKE,187
Gajsevsko,188
Gap,189
Garda,190
Gaskin's Cut,191
Gaustvinis,192
Geffense,193
Gemini Springs,194
Geneva_GE3,195
Geneva_SHL2,196
George South,197
Gertrude,198
Gici,199
Giles,200
Gin,201
Gineitiskes,202
Glenada,203
Golcuk,204
Golhisar,205
Goreckie,206
Gostei,207
Grasmere,208
Grasshopper,209
Greifen,210
Griffin,211
Griffin North,212
Griffin West,213
Grosser Dabelowsee,214
Grosser Wentowsee,215
Grylewskie,216
Gulbinas,217
Gumerdigin,218
Gyrstinge,219
HASTINGS LAKE,220
HILDA LAKE,221
Halfmoon,222
Hall,223
Hallwil,224
Hamry,225
Haraldsted,226
Harkmerifjarden,227
Harris,228
Harris Middle,229
Harris West,230
Helen,231
Henderson,232
Henschotermeer,233
Hermosa,234
Highland,235
Hillestadvannet,236
Holden,237
Huckleberry,238
Hunter,239
Hurricane,240
Hutchinson,241
ISLAND LAKE,242
Idamere,243
Ikizcetepeler,244
Ilinskie,245
Iseo,246
Island Pond,247
Istokpoga,248
Ivanhoe East,249
Ivanhoe Middle,250
Ivanhoe West,251
JACKFISH LAKE (NEAR CARVEL),252
JARVIS LAKE,253
Jaroslawieckie,254
Jeffery,255
Jem,256
Jesup North,257
Jeziorsko Reservoir,258
Jieznas,259
Joanna,260
Johio,261
Joux,262
Jovita,263
Jyvasjarvi,264
KEHIWIN LAKE,265
KINOSIU LAKE,266
Kaiavere,267
Kakskerranjarvi,268
Kamedut,269
Kannaviou Reservoir,270
Karacaoren_1,271
Karacaoren_2,272
Karadere,273
Karamik,274
Karaoren,275
Karatas,276
Karick,277
Karney,278
Key West Pond,279
Kielpinskie,280
Kierskie Male,281
Kinselmeer,282
Kleiner Wentowsee,283
Koningshoeve,284
Kopacko,285
Kornickie,286
Kortowskie,287
Kouris Reservoir,288
Kovada,289
Kozjak,290
Krankesjon,291
Kuchajda,292
Kucuk Akgol,293
Kuremaa,294
Kuzgun,295
LAC LA NONNE - WHOLE LAKE,296
LAC SANTE - WHOLE LAKE,297
LAKE NEWELL,298
LAURIER LAKE,299
LITTLE BEAVER LAKE,300
LONG ISLAND LAKE - NORTH BASIN,301
LONG ISLAND LAKE - SOUTH BASIN,302
